Country,EdLevel,YearsExperience,DevType,AnualSalary
United Kingdom of Great Britain and Northern Ireland,Postgraduate,3.0,Data scientist or machine learning specialist,55582.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,17.0,Data scientist or machine learning specialist,116333.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,3.0,Data scientist or machine learning specialist,46533.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,Data scientist or machine learning specialist,72385.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,13.0,Data scientist or machine learning specialist,96945.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,8.0,Data scientist or machine learning specialist,90482.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,7.0,Data scientist or machine learning specialist,74970.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,Data scientist or machine learning specialist,64630.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,3.0,Data scientist or machine learning specialist,48472.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,Data scientist or machine learning specialist,84019.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,10.0,Data scientist or machine learning specialist,51704.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,5.0,Data scientist or machine learning specialist,122796.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,9.0,Data scientist or machine learning specialist,49119.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,5.0,Data scientist or machine learning specialist,69800.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,1.0,Data scientist or machine learning specialist,46533.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,9.0,Data scientist or machine learning specialist,81433.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,10.0,Data scientist or machine learning specialist,40542.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,9.0,Data scientist or machine learning specialist,77556.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,3.0,Data scientist or machine learning specialist,86604.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,17.0,Data scientist or machine learning specialist,59459.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,17.0,Data scientist or machine learning specialist,54289.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,3.0,Data scientist or machine learning specialist,60752.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,0.5,Data scientist or machine learning specialist,42656.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,15.0,Data scientist or machine learning specialist,96945.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,7.0,Data scientist or machine learning specialist,116333.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,5.0,Data scientist or machine learning specialist,118531.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,0.5,Data scientist or machine learning specialist,38778.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,4.0,Data scientist or machine learning specialist,71093.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,7.0,Data scientist or machine learning specialist,40070.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,0.5,Data scientist or machine learning specialist,51704.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,5.0,Data scientist or machine learning specialist,51704.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,5.0,Data scientist or machine learning specialist,77556.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,10.0,Data scientist or machine learning specialist,80141.0
Russian Federation,Master’s degree,4.0,Data scientist or machine learning specialist,37752.0
Russian Federation,Bachelor’s degree,6.0,Data scientist or machine learning specialist,28308.0
Russian Federation,Less than a Bachelor’s,8.0,Data scientist or machine learning specialist,66060.0
Russian Federation,Master’s degree,5.0,Data scientist or machine learning specialist,41520.0
Russian Federation,Postgraduate,15.0,Data scientist or machine learning specialist,47184.0
Russian Federation,Postgraduate,4.0,Data scientist or machine learning specialist,15096.0
Russian Federation,Master’s degree,7.0,Data scientist or machine learning specialist,33972.0
Russian Federation,Postgraduate,14.0,Data scientist or machine learning specialist,56616.0
Russian Federation,Postgraduate,6.0,Data scientist or machine learning specialist,47184.0
Russian Federation,Master’s degree,2.0,Data scientist or machine learning specialist,20388.0
Russian Federation,Postgraduate,9.0,Data scientist or machine learning specialist,43404.0
Israel,Bachelor’s degree,5.0,Data scientist or machine learning specialist,122580.0
Israel,Less than a Bachelor’s,2.0,Data scientist or machine learning specialist,59544.0
Israel,Postgraduate,17.0,Data scientist or machine learning specialist,140088.0
Israel,Master’s degree,0.5,Data scientist or machine learning specialist,105072.0
Israel,Postgraduate,5.0,Data scientist or machine learning specialist,129492.0
Israel,Master’s degree,12.0,Data scientist or machine learning specialist,42024.0
Israel,Master’s degree,5.0,Data scientist or machine learning specialist,105072.0
Israel,Less than a Bachelor’s,13.0,Data scientist or machine learning specialist,126084.0
Israel,Bachelor’s degree,8.0,Data scientist or machine learning specialist,126084.0
Israel,Master’s degree,4.0,Data scientist or machine learning specialist,108564.0
Israel,Less than a Bachelor’s,4.0,Data scientist or machine learning specialist,108564.0
Israel,Postgraduate,4.0,Data scientist or machine learning specialist,122580.0
United States of America,Postgraduate,6.0,Data scientist or machine learning specialist,90000.0
United States of America,Postgraduate,7.0,Data scientist or machine learning specialist,135000.0
United States of America,Bachelor’s degree,1.0,Data scientist or machine learning specialist,70000.0
United States of America,Bachelor’s degree,8.0,Data scientist or machine learning specialist,150000.0
United States of America,Master’s degree,20.0,Data scientist or machine learning specialist,130000.0
United States of America,Bachelor’s degree,5.0,Data scientist or machine learning specialist,50000.0
United States of America,Master’s degree,5.0,Data scientist or machine learning specialist,125000.0
United States of America,Bachelor’s degree,2.0,Data scientist or machine learning specialist,100000.0
